x,y,z
0.3301,-0.0523,2.5544
0.3311,0.2555,2.5429
0.3304,0.5539,2.5197
0.3547,0.6836,2.4816
0.1367,0.4835,2.5318
-0.1238,0.4848,2.5246
-0.3512,0.4707,2.5304
-0.4499,0.4793,2.5456
0.5329,0.4718,2.5562
0.7603,0.4825,2.5847
0.9747,0.5048,2.6197
1.0647,0.5101,2.6352
0.2354,-0.0507,2.5189
0.2173,-0.4658,2.5488
0.2181,-0.8163,2.6129
0.1634,-0.8826,2.5544
0.4154,-0.0525,2.5184
0.4357,-0.4582,2.5500
0.4378,-0.8164,2.6181
0.4783,-0.8830,2.5506
0.3308,0.4806,2.5277
-0.5317,0.4801,2.5773
-0.4670,0.4989,2.4801
1.1616,0.5021,2.6788
1.1059,0.5161,2.5884
